City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,al kharijah,25.4514,30.5464,23.42,30,0,4.33,EG,1731251203
157,villa gesell,-37.2639,-56.973,21.76,63,100,3.18,AR,1731251204
158,nicoya,10.1483,-85.452,24.56,92,100,1.3,CR,1731251161
159,lensk,60.7253,114.9278,-12.94,98,99,2.22,RU,1731251206
160,nemuro,43.3236,145.575,11.33,84,100,9.63,JP,1731251207
161,petauke,-14.2426,31.3253,34.08,19,69,2.12,ZM,1731251208
162,ancud,-41.8697,-73.8203,10.41,86,93,8.41,CL,1731251209
163,mount gambier,-37.8333,140.7667,8.15,93,32,2.43,AU,1731251048
164,ulladulla,-35.35,150.4667,16.44,73,100,1.92,AU,1731251211
165,semirara,12.0697,121.3986,27.62,79,75,4.32,PH,1731251212
166,vila velha,-20.3297,-40.2925,26.97,74,75,9.26,BR,1731251213
167,yinchuan,38.4681,106.2731,12.0,48,98,2.3,CN,1731251214
168,nova sintra,14.8667,-24.7167,27.26,70,100,5.79,CV,1731251216
169,longboat key,27.4125,-82.659,27.85,73,20,4.63,US,1731251167
170,hawaiian paradise park,19.5933,-154.9731,19.94,88,40,2.57,US,1731251218
171,akureyri,65.6835,-18.0878,4.68,89,93,3.03,IS,1731251219
172,nazarabad,35.9521,50.6075,14.45,39,17,1.52,IR,1731251220
173,minas de marcona,-15.2119,-75.1103,19.81,56,36,4.09,PE,1731251221
174,brookings,44.3114,-96.7984,7.25,97,100,3.6,US,1731251075
175,xai-xai,-25.0519,33.6442,26.31,73,94,6.79,MZ,1731251223
176,nishifukuma,33.7667,130.4667,17.0,96,100,1.82,JP,1731251224
177,neiafu,-18.65,-173.9833,25.38,78,75,6.17,TO,1731251225
178,robertsport,6.7533,-11.3686,28.35,71,33,4.78,LR,1731251226
179,barra do garcas,-15.89,-52.2567,32.32,62,75,1.03,BR,1731251167
180,college,64.8569,-147.8028,-17.03,81,0,0.0,US,1731251229
181,iskateley,67.6803,53.1512,-9.21,85,15,3.31,RU,1731251230
182,tomsk,58.5,82.5,-1.93,96,100,6.01,RU,1731251220
183,karratha,-20.7377,116.8463,27.63,51,20,5.51,AU,1731251232
184,san miguel de salinas,37.9797,-0.789,23.52,47,38,2.43,ES,1731251233
185,enoch,37.7733,-113.0244,6.93,80,0,2.06,US,1731251234
186,santa cruz de tenerife,28.4682,-16.2546,30.78,21,0,3.6,ES,1731251235
187,vila franca do campo,37.7167,-25.4333,20.23,99,100,3.82,PT,1731251236
188,kudat,6.8837,116.8477,26.68,82,13,0.83,MY,1731251237
189,pauini,-7.7136,-66.9764,27.8,73,100,1.25,BR,1731251061
190,coracao de maria,-12.2333,-38.75,32.9,38,97,1.21,BR,1731251239
191,shalya,57.2471,58.7298,-6.99,85,100,4.36,RU,1731251241
192,altay,47.8667,88.1167,-3.08,98,100,2.27,CN,1731251115
193,hobyo,5.3505,48.5268,27.52,76,9,8.71,SO,1731251243
194,sisimiut,66.9395,-53.6735,-5.31,88,100,3.7,GL,1731251244
195,arraial do cabo,-22.9661,-42.0278,24.92,69,40,4.63,BR,1731251245
196,khailar,25.35,78.5333,25.53,37,0,1.6,IN,1731251246
197,murray bridge,-35.1167,139.2667,15.01,75,100,2.77,AU,1731251247
198,north bend,43.4065,-124.2243,9.59,100,100,3.09,US,1731251248
199,amahai,-3.3333,128.9167,26.37,85,99,1.92,ID,1731251249
200,kalmunai,7.4167,81.8167,26.66,80,13,4.36,LK,1731251250
201,verkhnevilyuysk,63.4453,120.3167,-12.49,97,99,2.16,RU,1731251251
202,jaicos,-7.3592,-41.1378,40.35,22,74,1.54,BR,1731251253
203,saint-philippe,-21.3585,55.7679,24.99,87,38,4.65,RE,1731251254
204,glace bay,46.1969,-59.957,5.55,69,13,5.36,CA,1731251256
205,cabo san lucas,22.8909,-109.9124,24.31,64,0,1.03,MX,1731251163
206,lethem,3.3803,-59.7968,36.18,34,97,4.65,GY,1731251258
207,jamestown,42.097,-79.2353,10.01,55,100,3.6,US,1731251186
208,reggane,26.7158,0.1714,31.18,18,100,2.21,DZ,1731251190
209,znamenka,52.4167,41.4311,4.04,70,87,2.95,RU,1731251263
210,moussoro,13.6408,16.4901,32.74,13,58,5.18,TD,1731251264
211,kailua-kona,19.6406,-155.9956,21.27,75,0,2.06,US,1731251265
212,tommot,58.9564,126.2925,-10.14,95,100,2.25,RU,1731251266
213,yuryuzan',54.8633,58.4219,-10.27,97,98,0.59,RU,1731251267
214,lata,40.1629,-8.3327,20.15,63,83,3.44,PT,1731251268
215,berezovyy,51.6667,135.7,-1.72,51,61,6.02,RU,1731251269
216,kayangel,8.0823,134.7173,28.95,73,12,2.21,PW,1731251270
217,keflavik,64.0049,-22.5624,7.24,87,100,14.4,IS,1731251271
218,isafjordur,66.0755,-23.124,7.02,65,75,7.2,IS,1731251272
219,chelak,39.9203,66.8611,8.42,55,2,1.37,UZ,1731251273
220,hamilton,39.1834,-84.5333,16.47,95,100,5.66,US,1731250983
221,kone,-21.0595,164.8658,21.55,80,7,0.94,NC,1731251275
